,match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth
24,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,15.11666667,1,5,25,0,0,2,2,40,15,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,120,,,-1
25,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,15.78333333,1,5,26,0,0,3,2,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,102,,,-1
26,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,16.36666667,1,6,27,0,0,3,2,0,15,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,,,-1
27,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,16.96666667,1,6,28,0,0,3,2,15,15,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,88,,,-1
28,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,17.61666667,1,6,29,0,0,3,2,30,15,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,96,,,-1
29,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,18.23333333,1,6,30,0,0,3,2,40,15,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,117,,,-1
30,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,18.75,1,6,31,0,0,3,2,40,30,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,111,,,-1
31,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,19.15,1,6,32,0,0,4,2,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2,118,,,-1
32,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,19.75,1,7,33,0,0,4,2,0,15,3,1,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,117,,,-1
33,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,20.18333333,1,7,34,0,0,4,2,0,30,3,2,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,90,,,-1
34,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,21.06666667,1,7,35,0,0,4,2,15,30,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,115,,,-1
35,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,21.76666667,1,7,36,0,0,4,2,30,30,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,112,,,-1
36,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,22.31666667,1,7,37,0,0,4,2,40,30,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,98,,,-1
37,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,23.41666667,1,7,38,0,0,5,2,0,0,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,90,,,-1
38,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,24.38333333,1,8,39,0,0,5,2,0,15,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,122,,,-1
39,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,25.06666667,1,8,40,0,0,5,2,0,30,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,87,,,-1
40,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,25.76666667,1,8,41,0,0,5,2,0,40,4,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,127,,,-1
41,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,26.13333333,1,8,42,0,0,5,3,0,0,4,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,78,,,-1
42,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,26.68333333,1,9,43,0,0,5,3,15,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,116,,,-1
43,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,27.05,1,9,44,0,0,5,3,30,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,115,,,-1
44,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,27.38333333,1,9,45,0,0,5,3,40,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,107,,,-1
45,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,28.01666667,1,9,46,1,0,6,3,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,113,,,-1
46,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,28.08333333,2,1,47,1,0,0,0,0,15,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,114,,,-1
